Trial,MSE,MAE,R2,Convolutions,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
1,0.6144956946372986,0.6668675541877747,0.2847253680229187,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,relu,adam,20
2,0.6069130301475525,0.6537920236587524,0.29355162382125854,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,relu,adam,20
3,3.092769145965576,1.5194251537322998,-2.5999913215637207,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,relu,adam,20
4,1.9187403917312622,1.1443020105361938,-1.2334189414978027,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,relu,adam,20
5,6.640821933746338,2.46482515335083,-6.729934215545654,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,relu,adam,20
6,5.791980266571045,2.2582767009735107,-5.741880416870117,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,relu,adam,20
7,0.8155547380447388,0.760984480381012,0.050692081451416016,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,relu,adam,20
8,0.6528782248497009,0.65236896276474,0.24004799127578735,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,relu,adam,20
9,0.8621695637702942,0.7961743474006653,-0.0035676956176757812,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,relu,adam,20
10,2.40030837059021,1.38021981716156,-1.7939653396606445,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,relu,adam,20
11,8.176206588745117,2.748509645462036,-8.517126083374023,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,relu,adam,20
12,5.477470397949219,2.1998348236083984,-5.375790119171143,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,relu,adam,20
13,0.6465896368026733,0.7061415314674377,0.2473679780960083,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,relu,adam,20
14,0.6985906958580017,0.7245247960090637,0.1868385672569275,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,relu,adam,20
15,1.1970717906951904,0.8986787796020508,-0.39339470863342285,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,relu,adam,20
16,2.8136260509490967,1.4721335172653198,-2.2750682830810547,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,relu,adam,20
17,2.666311502456665,1.4485357999801636,-2.1035938262939453,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,relu,adam,20
18,6.810008525848389,2.4847769737243652,-6.926867961883545,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,relu,adam,20
19,0.6248475313186646,0.6233795881271362,0.2726758122444153,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,relu,sgd,20
20,0.750575602054596,0.7228469848632812,0.1263279914855957,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,relu,sgd,20
21,0.7717912793159485,0.707869827747345,0.10163295269012451,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,relu,sgd,20
22,0.6901498436927795,0.6195239424705505,0.1966637372970581,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,relu,sgd,20
23,0.6833535432815552,0.6555991768836975,0.20457464456558228,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,relu,sgd,20
24,0.5884515643119812,0.6250824332237244,0.3150407671928406,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,relu,sgd,20
25,0.7794924974441528,0.6643681526184082,0.09266865253448486,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,relu,sgd,20
26,0.5321444272994995,0.6127831339836121,0.3805825114250183,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,relu,sgd,20
27,0.7429705262184143,0.65077143907547,0.1351802945137024,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,relu,sgd,20
28,0.8629042506217957,0.7246966361999512,-0.004422903060913086,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,relu,sgd,20
29,0.6293726563453674,0.6340895295143127,0.267408549785614,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,relu,sgd,20
30,0.5308764576911926,0.5797111392021179,0.38205844163894653,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,relu,sgd,20
31,0.6890546679496765,0.7085667848587036,0.19793850183486938,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,relu,sgd,20
