Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
1,1.2807228565216064,0.9272711873054504,0.03138911724090576,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,adam,15
2,1.757116436958313,1.149867296218872,-0.3289073705673218,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,adam,15
3,10.397073745727539,3.0501322746276855,-6.863308429718018,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,adam,15
4,14.917265892028809,3.704941987991333,-10.281929969787598,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,adam,15
5,2.202739715576172,1.2268946170806885,-0.665932297706604,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,adam,15
6,2.3525710105895996,1.2195199728012085,-0.7792497873306274,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,adam,15
7,11.340538024902344,3.1776459217071533,-7.576850891113281,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,adam,15
8,10.14780330657959,2.9666125774383545,-6.674785137176514,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,adam,15
9,1.3785717487335205,0.9646990895271301,-0.042613983154296875,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,relu,sgd,15
10,1.3745367527008057,0.9766589999198914,-0.039562344551086426,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,relu,sgd,15
11,1.4977188110351562,0.9493054151535034,-0.13272500038146973,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,relu,sgd,15
12,1.749171495437622,1.1594831943511963,-0.32289862632751465,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,relu,sgd,15
13,1.7807775735855103,1.1063026189804077,-0.3468022346496582,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,relu,sgd,15
14,1.4219664335250854,1.0700174570083618,-0.07543337345123291,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,relu,sgd,15
15,1.6887438297271729,1.0640629529953003,-0.2771972417831421,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,relu,sgd,15
16,2.983376979827881,1.446010708808899,-1.2563283443450928,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,relu,sgd,15
17,0.7318916320800781,0.6146767735481262,0.4464702606201172,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,tanh,adam,15
18,0.7773219347000122,0.6394718289375305,0.4121112823486328,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,tanh,adam,15
19,10.033473014831543,3.031464099884033,-6.588317394256592,"[24, 16, 16, 8]",0.2,0.0001,0.0001,250,tanh,adam,15
20,11.780760765075684,3.290160894393921,-7.909790992736816,"[24, 16, 16, 8]",0.2,0.0001,1e-05,250,tanh,adam,15
21,0.8196816444396973,0.6318626999855042,0.380074679851532,"[24, 16, 16, 8]",0.3,0.001,0.0001,250,tanh,adam,15
22,1.0834128856658936,0.8034352660179138,0.1806146502494812,"[24, 16, 16, 8]",0.3,0.001,1e-05,250,tanh,adam,15
23,9.30384349822998,2.8791263103485107,-6.036498546600342,"[24, 16, 16, 8]",0.3,0.0001,0.0001,250,tanh,adam,15
24,10.039265632629395,3.0162971019744873,-6.592697620391846,"[24, 16, 16, 8]",0.3,0.0001,1e-05,250,tanh,adam,15
25,1.1274783611297607,0.7699747085571289,0.14728796482086182,"[24, 16, 16, 8]",0.2,0.001,0.0001,250,tanh,sgd,15
26,1.1176496744155884,0.7386316657066345,0.1547214388847351,"[24, 16, 16, 8]",0.2,0.001,1e-05,250,tanh,sgd,15
