dataset,dataset size,variance_threshold,dataset size after vt,MSE,MAE,R2
filtered_00001.csv,20696,0.5764411027568922,20694,0.899,0.736,0.554
filtered_00001.csv,20696,0.5764411027568922,20694,0.66,0.634,0.674
filtered_00001.csv,20696,0.5764411027568922,20694,0.712,0.638,0.537
filtered_00001.csv,20696,0.5764411027568922,20694,0.719,0.69,0.553
filtered_00001.csv,20696,0.5764411027568922,20694,0.858,0.705,0.553
filtered_0001.csv,33973,0.4724310776942355,33971,0.815,0.754,0.536
filtered_0001.csv,33973,0.4724310776942355,33971,0.813,0.704,0.533
filtered_0001.csv,33973,0.4724310776942355,33971,0.778,0.731,0.659
filtered_0001.csv,33973,0.4724310776942355,33971,0.924,0.779,0.538
filtered_0001.csv,33973,0.4724310776942355,33971,0.514,0.614,0.734
filtered_001.csv,70664,0.3881294144452039,70662,1.188,0.9,0.461
filtered_001.csv,70664,0.3881294144452039,70662,1.216,0.748,0.308
filtered_001.csv,70664,0.3881294144452039,70662,0.587,0.634,0.543
filtered_001.csv,70664,0.3881294144452039,70662,0.765,0.739,0.617
filtered_001.csv,70664,0.3881294144452039,70662,1.027,0.823,0.482
filtered_005.csv,128642,0.3599908863066758,128640,0.667,0.674,0.509
filtered_005.csv,128642,0.3599908863066758,128640,0.921,0.775,0.576
filtered_005.csv,128642,0.3599908863066758,128640,0.752,0.726,0.126
filtered_005.csv,128642,0.3599908863066758,128640,0.873,0.675,0.573
filtered_005.csv,128642,0.3599908863066758,128640,1.397,0.996,-0.025
